Date,Open,High,Low,Close,Volume,Market Cap
Dec-31-2021,3721.8755,3821.7261,3644.590367,3691.611156,16844827161,4.46017E+11
Dec-30-2021,3721.8755,3821.7261,3644.590367,3691.611156,16844827161,4.46017E+11
Dec-29-2021,3640.373261,3774.378774,3620.622805,3724.1063,23603716036,4.41902E+11
Dec-28-2021,3808.7489,3836.195189,3634.019303,3639.101876,20503962393,4.50263E+11
Dec-27-2021,4044.256508,4044.256508,3788.353454,3814.2797,19605723972,4.64304E+11
Dec-26-2021,4071.642379,4128.6383,4042.1039,4044.835106,14068084000,4.85131E+11
Dec-25-2021,4099.685282,4105.3506,4020.0622,4076.411442,14905552740,4.82836E+11
Dec-24-2021,4049.1365,4134.1729,4039.6481,4109.646471,15636280544,4.84026E+11
Dec-23-2021,4112.805045,4134.710727,4042.036939,4048.6063,21211889522,4.86788E+11
Dec-22-2021,3984.6046,4149.494506,3908.535862,4110.144168,22592386496,4.74714E+11
Dec-21-2021,4023.0643,4071.359146,3953.1992,3988.063927,20454123954,4.77607E+11
Dec-20-2021,3939.558289,4057.832068,3922.34932,4027.1658,28618196096,4.75805E+11
Dec-19-2021,3927.116629,3971.772178,3774.411671,3936.136324,26250691868,4.58974E+11
Dec-18-2021,3963.925808,4018.2439,3899.835934,3924.8675,23808039571,4.68957E+11
Dec-17-2021,3880.897521,3987.5375,3784.485103,3961.200251,38068638994,4.65802E+11
Dec-16-2021,3965.1851,3992.7539,3723.238267,3889.818698,34426731072,4.62348E+11
Dec-15-2021,4019.2212,4104.889911,3968.8079,3973.235,38004166244,4.79369E+11
Dec-14-2021,3867.637877,4079.183914,3681.0649,4012.8137,30124147328,4.5942E+11
Dec-13-2021,3792.8126,3880.333305,3704.8133,3867.81731,35363992002,4.5142E+11
Dec-12-2021,4138.943628,4143.792754,3694.3441,3793.5513,28397948935,4.67183E+11
Dec-11-2021,4085.729265,4175.85855,4005.647433,4140.566284,31766340004,4.83667E+11
Dec-10-2021,3910.7981,4095.695082,3859.8901,4091.655288,47587895794,4.77743E+11
Dec-09-2021,4129.37257,4219.469859,3918.3373,3918.3373,47781683514,4.84912E+11
