Date,Open,High,Low,Close,Volume,Market Cap
Jan-27-2022,37062.96442529766,37929.9448,36168.92719056018,37784.7229,57734635207.111115,701591357896.459
Jan-26-2022,36786.69371111005,37201.84234665862,35519.974,37201.84234665862,72166742215.11111,688422851103.9241
Jan-25-2022,36948.8393678863,38891.8252,36306.58597356258,36775.52950357352,63422975943.111115,709933063606.199
Jan-24-2022,36637.1927,37434.6761,35719.348353297035,36948.63102657288,91347141963.81882,691210079787.7334
Jan-23-2022,36245.2641,37205.164,33111.2351,36705.9179,75077380195.55556,664425424142.2739
Jan-22-2022,35044.3339303827,36411.91505251562,34692.1279,36231.1426,81586496355.55556,670661229998.9396
Jan-21-2022,36452.3925,36690.31765209918,34299.962417269286,35015.93463281712,105799073362.34966,672308016424.7322
Jan-20-2022,40721.94741253595,41050.38990605082,35728.0153,36400.668,86773141888,732232020498.2672
Jan-19-2022,41697.059338602194,43443.98497110744,40630.03387498464,40673.94411547012,49528825059.55556,799069350717.9862
Jan-18-2022,42373.5257,42472.49706521905,41204.1748080978,41676.49877717717,53128314580.29269,793440774216.9891
Jan-17-2022,42229.527219054544,42582.4259,41329.6296,42352.1359,53607842417.77778,793765659206.7686
Jan-16-2022,43072.25577567013,43120.07919555267,41583.01486731671,42199.0091087438,69711029248,805222595768.9954
Jan-15-2022,43099.979069314526,43421.9567,42609.7049,43104.67712592442,56378730624,815612565453.0259
Jan-14-2022,43061.11596275135,43728.01290481912,42642.32323118763,43145.3076303167,62347797020.44444,816280344976.7772
Jan-13-2022,42549.959,43387.73825208463,41808.15115565882,43068.7265794597,62549530396.44444,808978928444.1011
Jan-12-2022,43888.844,44290.042286797296,42334.35468952263,42580.3303,50948501191.111115,821822974369.9554
Jan-11-2022,42710.8475,44168.1279,42470.150040559376,43900.027,54479088241.77778,817199869441.5336
Jan-10-2022,41835.6622,43049.98235173686,41284.8914,42674.2972,74616303444.73868,798516202518.9921
Jan-09-2022,41841.86351961653,42217.654,39782.07448064926,41786.2184,95449311303.11111,787404507138.4486
Jan-08-2022,41686.15811206098,42687.53150591043,41375.0263,41880.90095265793,70389962012.44444,792884797916.2301
Jan-07-2022,41543.1601,42298.4795,40642.1986,41752.9299959346,85660416753.77777,789225148271.778
Jan-06-2022,43136.994447066165,43136.994447066165,41019.06564757173,41512.9242,88215244174.22223,794822609637.6288
Jan-05-2022,43403.542,43733.3165,42596.1224,43119.06385915039,111270290375.11111,815464759259.0834
Jan-04-2022,45850.5562607672,46991.0055,42500.0486,43529.7281,109144957240.88889,868515207994.2651
Jan-03-2022,46412.0796,47493.9931,45705.038988184206,45884.4596581148,74674146005.33333,878429374359.3759
Jan-02-2022,47311.9467,47514.360017753,45703.02807450364,46424.346,115996952163.55556,885723263175.9742
Jan-01-2022,47722.9397,47869.1107,46702.7539,47313.6322,74535852088.88889,893627342141.7856
Dec-31-2021,46198.20378111831,47840.31078521792,46198.20378111831,47544.4994,99413619768.88889,891181081068.5044
Dec-30-2021,47139.359,48505.9997,45712.56659229362,46304.9495942002,78100267491.55556,894565347308.2029
Dec-29-2021,46430.48122440896,47876.49183896358,46077.72227603683,47161.0092,122924810126.22223,890774200999.6896
Dec-28-2021,47547.8655,48112.02147184699,46272.66298055319,46408.30267099845,88269733930.66667,899887200649.7673
Dec-27-2021,50667.9883379262,50667.9883379262,47411.71723711724,47637.8884,59398212508.44444,924133638276.1862
Dec-26-2021,50787.26383023923,51950.9126,50459.26364081736,50650.17144492962,46958435299.55556,965586558289.3127
Dec-25-2021,50390.389286298894,51209.46271806946,49545.5320971557,50799.97886066186,42671826325.333336,948264959665.5714
Dec-24-2021,50768.743,51098.0328,50260.1839,50629.9812440385,42058927196.44444,961121295103.3876
Dec-23-2021,50795.5980597068,51749.99795566682,50463.75057286352,50771.9277,54528629745.77778,964931428923.9963
Dec-22-2021,48593.0256,51342.02275797173,48084.81645245799,50795.70373249395,48359492622.22222,927934023644.0156
Dec-21-2021,48903.6213,49527.31385732582,48452.858481111456,48648.506046031885,52735526286.22222,925874599957.123
Dec-20-2021,46911.81315992155,49263.33218287721,46656.15834010291,48938.9095,62230469987.55556,915084553732.1669
Dec-19-2021,46706.435661563206,47307.35553006055,45617.23022554078,46878.42809013247,51058403683.55556,877638144421.869
Dec-18-2021,46778.23820480175,47999.99978779965,46455.29838513008,46686.4963,44667184937.17483,891953778428.7651
Dec-17-2021,46163.40330431097,47244.37901098458,45609.08243460973,46871.01844345239,58797940995.60564,881039954959.2925
Dec-16-2021,47646.9818,47963.7901,45732.72929005191,46305.32715138494,57135221176.888885,889687060026.4575
Dec-15-2021,48858.9746,49286.25027501853,47550.3447,47709.1644,70100915925.33333,918209245783.9861
